,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[1.0, 2.0]","[23.8502, 25.9934]","[23.8502, 25.9934]","[23.8502, 25.9934]","[23.8502, 25.9934]","[23.8502, 25.9934]","[23.8502, 25.9934]","[23.8502, 25.9934]","[23.0067, 28.0737]","[23.0067, 28.0737]","[23.0067, 28.0737]","[23.0067, 28.0737]","[23.0067, 28.0737]"
"[2.0, 3.0]","[23.6134, 26.1652]","[23.6134, 26.1652]","[23.6134, 26.1652]","[23.6134, 26.1652]","[23.6134, 26.1652]","[23.6134, 26.1652]","[23.6134, 26.1652]","[22.9703, 28.046]","[22.9703, 28.046]","[22.9703, 28.046]","[22.9703, 28.046]","[22.9703, 28.046]"
"[3.0, 4.0]","[23.197, 26.7473]","[23.197, 26.7473]","[23.197, 26.7473]","[23.197, 26.7473]","[23.197, 26.7473]","[23.197, 26.7473]","[23.197, 26.7473]","[22.9691, 28.0643]","[22.9691, 28.0643]","[22.9691, 28.0643]","[22.9691, 28.0643]","[22.9691, 28.0643]"
"[4.0, 5.0]","[23.1768, 26.9231]","[23.1768, 26.9231]","[23.1768, 26.9231]","[23.1768, 26.9231]","[23.1768, 26.9231]","[23.1768, 26.9231]","[23.1768, 26.9231]","[22.9061, 28.0988]","[22.9061, 28.0988]","[22.9061, 28.0988]","[22.9061, 28.0988]","[22.9061, 28.0988]"
"[5.0, 6.0]","[23.1901, 27.0076]","[23.1901, 27.0076]","[23.1901, 27.0076]","[23.1901, 27.0076]","[23.1901, 27.0076]","[23.1901, 27.0076]","[23.1901, 27.0076]","[22.851, 28.1058]","[22.851, 28.1058]","[22.851, 28.1058]","[22.851, 28.1058]","[22.851, 28.1058]"
"[6.0, 7.0]","[23.1673, 27.0925]","[23.1673, 27.0925]","[23.1673, 27.0925]","[23.1673, 27.0925]","[23.1673, 27.0925]","[23.1673, 27.0925]","[23.1673, 27.0925]","[22.7751, 28.2193]","[22.7751, 28.2193]","[22.7751, 28.2193]","[22.7751, 28.2193]","[22.7751, 28.2193]"
"[7.0, 8.0]","[23.3491, 26.9728]","[23.3491, 26.9728]","[23.3491, 26.9728]","[23.3491, 26.9728]","[23.3491, 26.9728]","[23.3491, 26.9728]","[23.3491, 26.9728]","[22.7537, 28.2373]","[22.7537, 28.2373]","[22.7537, 28.2373]","[22.7537, 28.2373]","[22.7537, 28.2373]"
"[8.0, 9.0]","[23.5201, 26.8694]","[23.5201, 26.8694]","[23.5201, 26.8694]","[23.5201, 26.8694]","[23.5201, 26.8694]","[23.5201, 26.8694]","[23.5201, 26.8694]","[22.7246, 28.2656]","[22.7246, 28.2656]","[22.7246, 28.2656]","[22.7246, 28.2656]","[22.7246, 28.2656]"
"[9.0, 10.0]","[23.7602, 26.7349]","[23.7602, 26.7349]","[23.7602, 26.7349]","[23.7602, 26.7349]","[23.7602, 26.7349]","[23.7602, 26.7349]","[23.7602, 26.7349]","[22.7313, 28.2224]","[22.7313, 28.2224]","[22.7313, 28.2224]","[22.7313, 28.2224]","[22.7313, 28.2224]"
"[10.0, 11.0]","[24.0112, 26.6262]","[24.0112, 26.6262]","[24.0112, 26.6262]","[24.0112, 26.6262]","[24.0112, 26.6262]","[24.0112, 26.6262]","[24.0112, 26.6262]","[22.7133, 28.2181]","[22.7133, 28.2181]","[22.7133, 28.2181]","[22.7133, 28.2181]","[22.7133, 28.2181]"
"[11.0, 12.0]","[24.248, 26.4687]","[24.248, 26.4687]","[24.248, 26.4687]","[24.248, 26.4687]","[24.248, 26.4687]","[24.248, 26.4687]","[24.248, 26.4687]","[22.7483, 28.16]","[22.7483, 28.16]","[22.7483, 28.16]","[22.7483, 28.16]","[22.7483, 28.16]"
"[12.0, 13.0]","[24.4552, 26.3258]","[24.4552, 26.3258]","[24.4552, 26.3258]","[24.4552, 26.3258]","[24.4552, 26.3258]","[24.4552, 26.3258]","[24.4552, 26.3258]","[22.6731, 28.1738]","[22.6731, 28.1738]","[22.6731, 28.1738]","[22.6731, 28.1738]","[22.6731, 28.1738]"
"[13.0, 14.0]","[24.7005, 26.1618]","[24.7005, 26.1618]","[24.7005, 26.1618]","[24.7005, 26.1618]","[24.7005, 26.1618]","[24.7005, 26.1618]","[24.7005, 26.1618]","[22.5178, 28.1941]","[22.5178, 28.1941]","[22.5178, 28.1941]","[22.5178, 28.1941]","[22.5178, 28.1941]"
"[14.0, 15.0]","[24.9224, 25.9873]","[24.9224, 25.9873]","[24.9224, 25.9873]","[24.9224, 25.9873]","[24.9224, 25.9873]","[24.9224, 25.9873]","[24.9224, 25.9873]","[22.0321, 28.4171]","[22.0321, 28.4171]","[22.0321, 28.4171]","[22.0321, 28.4171]","[22.0321, 28.4171]"
"[15.0, 16.0]","[25.0334, 25.9121]","[25.0334, 25.9121]","[25.0334, 25.9121]","[25.0334, 25.9121]","[25.0334, 25.9121]","[25.0334, 25.9121]","[25.0334, 25.9121]","[21.7828, 28.4887]","[21.7828, 28.4887]","[21.7828, 28.4887]","[21.7828, 28.4887]","[21.7828, 28.4887]"
