,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[6, 7]","[0.00000, 40.04471]","[0.00000, 41.69837]","[0.00000, 41.58493]","[0.00000, 50.67567]","[0.00000, 32.86841]","[0.00000, 43.20574]","[3.96495, 5.78474]","[0.00000, 36.62794]","[0.00000, 32.25185]","[0.00000, 44.86304]","[0.00000, 37.04324]","[0.00000, 38.01850]"
"[7, 8]","[0.00000, 34.74738]","[0.00000, 41.05388]","[0.00000, 22.06334]","[0.00000, 35.18264]","[0.00000, 37.04303]","[0.00000, 40.48360]","[0.00000, 32.88280]","[1.26531, 12.65812]","[0.00000, 39.72894]","[0.00000, 33.29957]","[0.00000, 32.14573]","[0.00000, 42.91212]"
"[8, 9]","[0.00000, 32.72212]","[0.00000, 30.42519]","[1.39877, 4.17654]","[1.18093, 2.12518]","[0.00000, 23.32556]","[3.41381, 7.43134]","[0.00000, 41.69775]","[2.35205, 10.50222]","[0.00000, 34.62539]","[0.00000, 36.10797]","[0.00000, 30.21951]","[0.00000, 28.00300]"
"[9, 10]","[3.13097, 6.37639]","[0.00000, 29.91868]","[1.84056, 4.89132]","[1.76861, 2.53171]","[0.42783, 1.94744]","[0.00000, 3.19684]","[0.67095, 3.31214]","[0.00000, 12.07790]","[0.00000, 30.63498]","[0.00000, 37.37006]","[0.00000, 37.99435]","[1.86274, 8.18007]"
"[10, 11]","[3.13498, 5.19024]","[3.29548, 5.64566]","[0.00000, 36.30933]","[0.00000, 38.34892]","[3.21481, 4.76177]","[0.00000, 5.00586]","[0.00000, 27.81322]","[0.00000, 10.36044]","[3.23320, 9.19968]","[0.00000, 40.06396]","[0.00000, 27.75730]","[0.00000, 27.80127]"
"[11, 12]","[0.00000, 25.04005]","[0.00000, 27.92838]","[0.98966, 4.14688]","[0.80248, 1.85905]","[1.04279, 2.24571]","[0.09964, 5.17380]","[0.00000, 9.91699]","[0.00000, 8.02049]","[0.00000, 14.08212]","[0.00000, 9.26146]","[0.00000, 30.18681]","[0.00000, 28.65261]"
"[12, 13]","[0.00000, 26.28204]","[0.00000, 41.34333]","[3.06806, 6.07305]","[0.94096, 2.72866]","[0.00000, 1.31907]","[0.00000, 4.16461]","[1.25172, 5.37185]","[0.00000, 20.98531]","[1.15144, 8.32535]","[0.00000, 33.08017]","[0.00000, 11.93242]","[0.00000, 24.42331]"
"[13, 14]","[2.43066, 5.26598]","[2.85328, 4.66302]","[0.81776, 5.24022]","[0.00000, 24.49726]","[1.03765, 2.78360]","[0.64631, 4.33076]","[0.00000, 10.72633]","[0.00000, 16.00849]","[0.00000, 13.46260]","[0.00000, 10.36084]","[0.00000, 7.01551]","[0.00000, 7.48385]"
"[14, 15]","[0.00000, 30.57550]","[3.30551, 5.62223]","[0.52014, 4.75551]","[0.00000, 2.59235]","[0.35437, 1.96309]","[0.74030, 3.85320]","[0.00000, 12.47966]","[0.00000, 13.37550]","[0.00000, 16.97541]","[0.00000, 10.70386]","[0.00000, 21.01510]","[2.09838, 8.03576]"
"[15, 16]","[0.00000, 9.85194]","[2.72274, 5.15695]","[0.68857, 4.65907]","[1.22428, 1.98400]","[0.28180, 2.23056]","[0.18249, 3.06329]","[0.00000, 8.24199]","[0.00000, 12.35125]","[0.00000, 16.41826]","[0.00000, 13.21689]","[0.89792, 7.41392]","[0.76028, 8.67090]"
"[16, 17]","[0.01035, 9.80088]","[3.38287, 5.25991]","[0.55417, 4.82522]","[0.52681, 1.81887]","[0.53994, 1.37855]","[0.04313, 4.28301]","[0.00000, 10.79474]","[0.00000, 23.15030]","[0.00000, 19.29396]","[0.00000, 10.33787]","[0.00000, 11.52108]","[0.80826, 7.87724]"
"[17, 18]","[1.22315, 8.99434]","[4.07268, 6.38745]","[0.00000, 8.58921]","[1.76304, 2.37562]","[0.41326, 1.78820]","[0.00000, 4.06919]","[0.00000, 7.61801]","[0.00000, 19.68641]","[0.00000, 21.19334]","[0.00000, 21.03426]","[0.52576, 6.52804]","[0.00000, 8.44305]"
"[18, 19]","[0.00000, 29.32537]","[1.07589, 11.76788]","[0.12832, 7.88745]","[0.00550, 3.26151]","[0.42874, 1.40795]","[0.11936, 3.85144]","[0.00000, 8.72676]","[0.00000, 16.37695]","[0.00000, 19.51627]","[0.00000, 12.00416]","[0.00000, 11.91105]","[0.00000, 19.86360]"
"[19, 20]","[0.00000, 22.01851]","[1.90743, 12.32308]","[0.00000, 10.11283]","[0.00000, 3.92331]","[0.32003, 1.40004]","[0.42596, 5.06170]","[0.00000, 14.09413]","[0.00000, 27.84884]","[0.00000, 12.11436]","[0.00000, 12.60057]","[0.00000, 11.68786]","[0.00000, 22.05429]"
"[20, 21]","[0.00000, 20.22158]","[1.25069, 10.67659]","[0.00000, 7.37367]","[0.00000, 4.24305]","[0.50132, 2.58388]","[0.55540, 5.17815]","[0.00000, 14.12885]","[0.00000, 20.15428]","[0.00000, 22.07511]","[0.00000, 13.70255]","[0.93548, 9.98023]","[0.00000, 36.52493]"
"[21, 22]","[0.00000, 22.64969]","[1.23265, 11.07163]","[0.11975, 8.47665]","[0.00000, 5.74390]","[0.61580, 1.73260]","[0.78419, 4.23953]","[0.00000, 13.15505]","[0.00000, 19.82441]","[0.00000, 15.35538]","[0.00000, 13.08911]","[0.00000, 11.37017]","[0.00000, 16.91629]"
"[22, 23]","[0.00000, 10.81828]","[0.00000, 26.57179]","[0.00000, 9.12860]","[0.00000, 4.67723]","[0.00000, 2.40111]","[0.02126, 4.67923]","[0.00000, 13.59586]","[0.00000, 22.49789]","[0.00000, 15.80232]","[0.00000, 15.48917]","[0.00000, 12.81922]","[0.00000, 9.85748]"
"[23, 24]","[1.49300, 8.78963]","[4.43979, 6.63653]","[0.64564, 7.39524]","[0.00000, 4.65583]","[0.00000, 2.50468]","[1.18828, 4.62290]","[0.00000, 15.82009]","[0.00000, 19.92203]","[0.00000, 19.09797]","[0.00000, 14.84474]","[0.00000, 6.58370]","[0.00000, 7.38141]"
"[24, 25]","[0.00000, 25.68411]","[0.00000, 25.97599]","[0.00000, 28.48283]","[0.00000, 6.68093]","[0.00000, 3.15814]","[0.00000, 4.97147]","[0.00000, 14.53644]","[0.00000, 24.11776]","[0.00000, 23.28581]","[0.00000, 18.45694]","[0.00000, 11.50473]","[0.25420, 10.83654]"
"[25, 26]","[0.00000, 12.38128]","[0.00000, 24.15740]","[0.00000, 11.79854]","[0.00000, 9.39920]","[0.00000, 14.78522]","[0.53779, 6.30201]","[0.00000, 16.04363]","[0.00000, 20.19139]","[0.00000, 17.62680]","[0.00000, 19.00065]","[0.00000, 13.05222]","[1.00982, 9.92819]"
"[26, 27]","[1.61015, 12.65626]","[0.00000, 25.12377]","[0.00000, 22.34343]","[0.00000, 10.56757]","[0.90041, 2.87264]","[0.00000, 7.13514]","[0.00000, 15.59033]","[0.00000, 21.02595]","[0.00000, 17.83082]","[0.00000, 17.53369]","[0.00000, 16.01892]","[0.00000, 30.28946]"
"[27, 28]","[0.00000, 19.97191]","[5.18702, 7.23928]","[0.00000, 10.69859]","[0.00000, 9.00264]","[1.12757, 2.25846]","[0.00000, 7.15226]","[0.00000, 16.25541]","[0.00000, 26.01751]","[0.00000, 20.58505]","[0.00000, 20.55532]","[0.00000, 13.21633]","[0.00000, 11.05312]"
"[28, 29]","[0.22140, 11.96859]","[1.50273, 10.62690]","[1.21366, 7.28815]","[1.00836, 2.83161]","[0.74613, 1.58922]","[1.79012, 3.98175]","[0.00000, 13.44499]","[0.00000, 25.13776]","[0.00000, 20.64473]","[0.00000, 19.89504]","[0.00000, 14.01157]","[0.00000, 11.37587]"
"[29, 30]","[2.23303, 11.00388]","[3.11626, 12.62640]","[0.00000, 23.84752]","[0.56158, 7.14807]","[1.74891, 2.80927]","[0.00000, 9.42240]","[0.00000, 16.45123]","[0.00000, 23.11852]","[0.00000, 21.73040]","[0.00000, 21.58261]","[0.00000, 17.57594]","[0.37318, 8.63779]"
"[30, 31]","[0.73288, 11.14970]","[1.76923, 10.00631]","[0.00000, 10.32450]","[0.67269, 3.20787]","[0.59203, 2.09879]","[0.00000, 8.99856]","[0.00000, 17.17442]","[0.00000, 28.57424]","[0.00000, 25.19185]","[0.00000, 23.66803]","[0.00000, 18.93115]","[0.00000, 19.51980]"
"[31, 32]","[0.00000, 20.20719]","[0.52185, 11.67299]","[0.00000, 11.60044]","[1.00591, 2.94590]","[0.45124, 2.10747]","[0.00000, 8.48468]","[0.00000, 14.53939]","[0.00000, 28.05302]","[0.00000, 23.91282]","[0.00000, 23.56885]","[0.00000, 15.27745]","[0.00000, 18.96793]"
"[32, 33]","[0.00000, 23.28180]","[0.00000, 19.06934]","[0.00000, 17.61166]","[1.13607, 2.57770]","[1.10149, 2.30289]","[0.00000, 12.68398]","[0.00000, 18.01891]","[0.00000, 25.75802]","[0.00000, 24.09976]","[0.00000, 23.43172]","[0.00000, 19.32798]","[0.00000, 19.15789]"
"[33, 34]","[0.47207, 12.14383]","[0.00000, 11.79500]","[0.00000, 16.70923]","[0.06031, 3.75473]","[1.03415, 2.31587]","[0.00000, 9.45510]","[0.00000, 15.74684]","[0.00000, 25.41690]","[0.00000, 25.04703]","[0.00000, 25.30547]","[0.00000, 20.59972]","[0.00000, 15.41717]"
"[34, 35]","[1.11467, 11.73889]","[0.00000, 28.44825]","[0.00000, 10.22318]","[0.60667, 4.44940]","[0.51640, 4.16776]","[0.00000, 15.87246]","[1.67559, 16.70757]","[0.00000, 31.94074]","[0.00000, 29.56157]","[0.00000, 24.65230]","[0.00000, 16.52800]","[0.57888, 10.92679]"
"[35, 36]","[0.94075, 11.47349]","[0.00000, 12.29354]","[0.00000, 19.06450]","[1.57943, 3.31535]","[0.54013, 3.22004]","[0.00000, 14.53147]","[1.00697, 15.47312]","[0.00000, 26.54304]","[0.00000, 26.94911]","[0.00000, 27.36651]","[0.00000, 18.18320]","[0.00000, 19.12280]"
"[36, 37]","[0.96583, 11.52014]","[0.00000, 13.19633]","[0.00000, 13.51885]","[0.00000, 4.97779]","[0.60375, 3.45729]","[0.00000, 12.53399]","[1.30073, 15.35278]","[0.00000, 29.08267]","[0.00000, 29.22059]","[0.00000, 29.58643]","[0.00000, 22.87716]","[0.00000, 16.29344]"
